defect_type_0edge_1node,f,epsilon,m_psi,mean_k
0.000000000000000000e+00,8.000000000000000444e-01,8.800000000000000044e-01,1.597316666666666633e-03,4.093274128258411082e+00
0.000000000000000000e+00,8.000000000000000444e-01,9.200000000000000400e-01,1.567721833333333330e-03,4.093274128258411082e+00
0.000000000000000000e+00,8.000000000000000444e-01,9.599999999999999645e-01,1.648594166666666550e-03,4.093274128258411082e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.000000000000000000e+00,1.641053333333333765e-03,4.093274128258411082e+00
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.004233333333333533e+01
1.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000083e-02,1.000000000000000000e+00,2.004233333333333533e+01
1.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000167e-02,1.000000000000000000e+00,2.004233333333333533e+01
1.000000000000000000e+00,0.000000000000000000e+00,1.199999999999999956e-01,1.000000000000000000e+00,2.004233333333333533e+01
1.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000033e-01,1.000000000000000000e+00,2.004233333333333533e+01
1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000111e-01,1.000000000000000000e+00,2.004233333333333533e+01
1.000000000000000000e+00,0.000000000000000000e+00,2.399999999999999911e-01,1.000000000000000000e+00,2.004233333333333533e+01
1.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000266e-01,9.999993333333332401e-01,2.004233333333333533e+01
1.000000000000000000e+00,0.000000000000000000e+00,3.200000000000000067e-01,9.999986666666665913e-01,2.004233333333333533e+01
1.000000000000000000e+00,0.000000000000000000e+00,3.599999999999999867e-01,9.999964999999999549e-01,2.004233333333333533e+01
1.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000222e-01,9.999946666666668094e-01,2.004233333333333533e+01
1.000000000000000000e+00,0.000000000000000000e+00,4.400000000000000022e-01,9.999924999999999509e-01,2.004233333333333533e+01
1.000000000000000000e+00,0.000000000000000000e+00,4.799999999999999822e-01,9.999838333333334051e-01,2.004233333333333533e+01
1.000000000000000000e+00,0.000000000000000000e+00,5.200000000000000178e-01,9.999715000000000131e-01,2.004233333333333533e+01
1.000000000000000000e+00,0.000000000000000000e+00,5.600000000000000533e-01,9.999369999999999647e-01,2.004233333333333533e+01
1.000000000000000000e+00,0.000000000000000000e+00,5.999999999999999778e-01,7.855406666666667759e-01,2.004233333333333533e+01
1.000000000000000000e+00,0.000000000000000000e+00,6.400000000000000133e-01,6.424933333333333017e-03,2.004233333333333533e+01
1.000000000000000000e+00,0.000000000000000000e+00,6.800000000000000488e-01,2.748201666666666779e-03,2.004233333333333533e+01
1.000000000000000000e+00,0.000000000000000000e+00,7.199999999999999734e-01,2.284501666666666729e-03,2.004233333333333533e+01
1.000000000000000000e+00,0.000000000000000000e+00,7.600000000000000089e-01,2.754313333333333145e-03,2.004233333333333533e+01
1.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000444e-01,2.567766666666666722e-03,2.004233333333333533e+01
1.000000000000000000e+00,0.000000000000000000e+00,8.399999999999999689e-01,1.819464833333333349e-03,2.004233333333333533e+01
1.000000000000000000e+00,0.000000000000000000e+00,8.800000000000000044e-01,1.508400666666666551e-03,2.004233333333333533e+01
1.000000000000000000e+00,0.000000000000000000e+00,9.200000000000000400e-01,1.526835666666666791e-03,2.004233333333333533e+01
1.000000000000000000e+00,0.000000000000000000e+00,9.599999999999999645e-01,9.079113333333334443e-04,2.004233333333333533e+01
1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.459293500000000132e-03,2.004233333333333533e+01
1.000000000000000000e+00,2.999999999999999889e-01,0.000000000000000000e+00,9.999546666666666583e-01,1.405428571428571338e+01
1.000000000000000000e+00,2.999999999999999889e-01,4.000000000000000083e-02,9.999556666666666871e-01,1.405428571428571338e+01
1.000000000000000000e+00,2.999999999999999889e-01,8.000000000000000167e-02,9.999613333333333687e-01,1.405428571428571338e+01
1.000000000000000000e+00,2.999999999999999889e-01,1.199999999999999956e-01,9.999580000000000135e-01,1.405428571428571338e+01
1.000000000000000000e+00,2.999999999999999889e-01,1.600000000000000033e-01,9.999470000000000303e-01,1.405428571428571338e+01
1.000000000000000000e+00,2.999999999999999889e-01,2.000000000000000111e-01,9.999373333333334557e-01,1.405428571428571338e+01
1.000000000000000000e+00,2.999999999999999889e-01,2.399999999999999911e-01,9.999158333333332260e-01,1.405428571428571338e+01
1.000000000000000000e+00,2.999999999999999889e-01,2.800000000000000266e-01,9.998744999999998884e-01,1.405428571428571338e+01
1.000000000000000000e+00,2.999999999999999889e-01,3.200000000000000067e-01,9.998330000000000828e-01,1.405428571428571338e+01
1.000000000000000000e+00,2.999999999999999889e-01,3.599999999999999867e-01,9.997739999999999405e-01,1.405428571428571338e+01
1.000000000000000000e+00,2.999999999999999889e-01,4.000000000000000222e-01,9.996623333333332084e-01,1.405428571428571338e+01
1.000000000000000000e+00,2.999999999999999889e-01,4.400000000000000022e-01,9.995215000000000627e-01,1.405428571428571338e+01
1.000000000000000000e+00,2.999999999999999889e-01,4.799999999999999822e-01,9.992890000000000938e-01,1.405428571428571338e+01
1.000000000000000000e+00,2.999999999999999889e-01,5.200000000000000178e-01,9.989736666666666487e-01,1.405428571428571338e+01
1.000000000000000000e+00,2.999999999999999889e-01,5.600000000000000533e-01,9.460206666666666209e-01,1.405428571428571338e+01
1.000000000000000000e+00,2.999999999999999889e-01,5.999999999999999778e-01,6.837208333333334026e-03,1.405428571428571338e+01
