T,N,degree,epsilon,m_psi
2.999999999999999889e-01,8.000000000000000000e+02,8.000000000000000000e+00,5.000000000000000000e-01,7.096069999999999878e-01
2.999999999999999889e-01,8.000000000000000000e+02,8.000000000000000000e+00,5.500000000000000444e-01,7.337660000000000189e-03
2.999999999999999889e-01,8.000000000000000000e+02,8.000000000000000000e+00,6.000000000000000888e-01,3.758319999999999890e-03
2.999999999999999889e-01,8.000000000000000000e+02,8.000000000000000000e+00,6.500000000000000222e-01,3.432720000000000216e-03
2.999999999999999889e-01,8.000000000000000000e+02,8.000000000000000000e+00,7.000000000000000666e-01,2.764089999999999863e-03
2.999999999999999889e-01,8.000000000000000000e+02,8.000000000000000000e+00,7.500000000000000000e-01,2.486830000000000204e-03
2.999999999999999889e-01,8.000000000000000000e+02,8.000000000000000000e+00,8.000000000000000444e-01,3.023650000000000122e-03
2.999999999999999889e-01,8.000000000000000000e+02,8.000000000000000000e+00,8.500000000000000888e-01,4.302350000000000033e-04
2.999999999999999889e-01,8.000000000000000000e+02,8.000000000000000000e+00,9.000000000000000222e-01,6.460669999999999521e-04
2.999999999999999889e-01,8.000000000000000000e+02,8.000000000000000000e+00,9.500000000000000666e-01,1.787090000000000076e-03
2.999999999999999889e-01,8.000000000000000000e+02,8.000000000000000000e+00,1.000000000000000000e+00,9.631140000000000491e-04
2.999999999999999889e-01,8.000000000000000000e+02,1.000000000000000000e+01,0.000000000000000000e+00,9.999890000000000168e-01
2.999999999999999889e-01,8.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000278e-02,9.999879999999999880e-01
2.999999999999999889e-01,8.000000000000000000e+02,1.000000000000000000e+01,1.000000000000000056e-01,9.999860000000000415e-01
2.999999999999999889e-01,8.000000000000000000e+02,1.000000000000000000e+01,1.500000000000000222e-01,9.999799999999999800e-01
2.999999999999999889e-01,8.000000000000000000e+02,1.000000000000000000e+01,2.000000000000000111e-01,9.999710000000000543e-01
2.999999999999999889e-01,8.000000000000000000e+02,1.000000000000000000e+01,2.500000000000000000e-01,9.999519999999999520e-01
2.999999999999999889e-01,8.000000000000000000e+02,1.000000000000000000e+01,3.000000000000000444e-01,9.999299999999999855e-01
2.999999999999999889e-01,8.000000000000000000e+02,1.000000000000000000e+01,3.500000000000000333e-01,9.998839999999999950e-01
2.999999999999999889e-01,8.000000000000000000e+02,1.000000000000000000e+01,4.000000000000000222e-01,9.998179999999999845e-01
