degree,epsilon,m_psi
2.400000000000000000e+01,5.200000000000000178e-01,9.999299999999999855e-01
2.400000000000000000e+01,5.600000000000000533e-01,9.998759999999999870e-01
2.400000000000000000e+01,5.999999999999999778e-01,9.997219999999999995e-01
2.400000000000000000e+01,6.400000000000000133e-01,9.993170000000000108e-01
2.400000000000000000e+01,6.800000000000000488e-01,1.239789999999999989e-02
2.400000000000000000e+01,7.199999999999999734e-01,4.975150000000000232e-03
2.400000000000000000e+01,7.600000000000000089e-01,7.132229999999999820e-03
2.400000000000000000e+01,8.000000000000000444e-01,3.048850000000000084e-03
2.400000000000000000e+01,8.399999999999999689e-01,1.993879999999999958e-03
2.400000000000000000e+01,8.800000000000000044e-01,2.338750000000000117e-03
2.400000000000000000e+01,9.200000000000000400e-01,3.264060000000000052e-03
2.400000000000000000e+01,9.599999999999999645e-01,3.115329999999999922e-03
2.400000000000000000e+01,1.000000000000000000e+00,2.934379999999999888e-03
2.600000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.600000000000000000e+01,4.000000000000000083e-02,1.000000000000000000e+00
2.600000000000000000e+01,8.000000000000000167e-02,1.000000000000000000e+00
2.600000000000000000e+01,1.199999999999999956e-01,1.000000000000000000e+00
2.600000000000000000e+01,1.600000000000000033e-01,1.000000000000000000e+00
2.600000000000000000e+01,2.000000000000000111e-01,1.000000000000000000e+00
2.600000000000000000e+01,2.399999999999999911e-01,1.000000000000000000e+00
2.600000000000000000e+01,2.800000000000000266e-01,1.000000000000000000e+00
2.600000000000000000e+01,3.200000000000000067e-01,1.000000000000000000e+00
2.600000000000000000e+01,3.599999999999999867e-01,1.000000000000000000e+00
2.600000000000000000e+01,4.000000000000000222e-01,1.000000000000000000e+00
2.600000000000000000e+01,4.400000000000000022e-01,1.000000000000000000e+00
2.600000000000000000e+01,4.799999999999999822e-01,9.999930000000000208e-01
2.600000000000000000e+01,5.200000000000000178e-01,9.999770000000000048e-01
2.600000000000000000e+01,5.600000000000000533e-01,9.999430000000000263e-01
2.600000000000000000e+01,5.999999999999999778e-01,9.998559999999999670e-01
2.600000000000000000e+01,6.400000000000000133e-01,9.996749999999999803e-01
2.600000000000000000e+01,6.800000000000000488e-01,5.925849999999999868e-03
2.600000000000000000e+01,7.199999999999999734e-01,7.559980000000000215e-04
2.600000000000000000e+01,7.600000000000000089e-01,1.131850000000000000e-03
2.600000000000000000e+01,8.000000000000000444e-01,2.797480000000000192e-03
2.600000000000000000e+01,8.399999999999999689e-01,3.890849999999999951e-03
2.600000000000000000e+01,8.800000000000000044e-01,3.315949999999999800e-03
2.600000000000000000e+01,9.200000000000000400e-01,2.820860000000000121e-03
2.600000000000000000e+01,9.599999999999999645e-01,3.094500000000000028e-03
2.600000000000000000e+01,1.000000000000000000e+00,2.140529999999999863e-03
2.800000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.800000000000000000e+01,4.000000000000000083e-02,1.000000000000000000e+00
2.800000000000000000e+01,8.000000000000000167e-02,1.000000000000000000e+00
2.800000000000000000e+01,1.199999999999999956e-01,1.000000000000000000e+00
2.800000000000000000e+01,1.600000000000000033e-01,1.000000000000000000e+00
2.800000000000000000e+01,2.000000000000000111e-01,1.000000000000000000e+00
2.800000000000000000e+01,2.399999999999999911e-01,1.000000000000000000e+00
2.800000000000000000e+01,2.800000000000000266e-01,1.000000000000000000e+00
2.800000000000000000e+01,3.200000000000000067e-01,1.000000000000000000e+00
2.800000000000000000e+01,3.599999999999999867e-01,1.000000000000000000e+00
2.800000000000000000e+01,4.000000000000000222e-01,1.000000000000000000e+00
2.800000000000000000e+01,4.400000000000000022e-01,9.999970000000000248e-01
2.800000000000000000e+01,4.799999999999999822e-01,9.999970000000000248e-01
2.800000000000000000e+01,5.200000000000000178e-01,9.999900000000000455e-01
2.800000000000000000e+01,5.600000000000000533e-01,9.999770000000000048e-01
2.800000000000000000e+01,5.999999999999999778e-01,9.999130000000000518e-01
2.800000000000000000e+01,6.400000000000000133e-01,8.190490000000000270e-01
2.800000000000000000e+01,6.800000000000000488e-01,1.433290000000000041e-03
2.800000000000000000e+01,7.199999999999999734e-01,3.326790000000000042e-03
2.800000000000000000e+01,7.600000000000000089e-01,2.101510000000000010e-03
2.800000000000000000e+01,8.000000000000000444e-01,2.293990000000000092e-03
2.800000000000000000e+01,8.399999999999999689e-01,2.113439999999999850e-03
2.800000000000000000e+01,8.800000000000000044e-01,1.966400000000000092e-03
2.800000000000000000e+01,9.200000000000000400e-01,1.936889999999999923e-03
2.800000000000000000e+01,9.599999999999999645e-01,2.178600000000000154e-03
2.800000000000000000e+01,1.000000000000000000e+00,2.581110000000000175e-03
3.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
3.000000000000000000e+01,4.000000000000000083e-02,1.000000000000000000e+00
3.000000000000000000e+01,8.000000000000000167e-02,1.000000000000000000e+00
3.000000000000000000e+01,1.199999999999999956e-01,1.000000000000000000e+00
3.000000000000000000e+01,1.600000000000000033e-01,1.000000000000000000e+00
3.000000000000000000e+01,2.000000000000000111e-01,1.000000000000000000e+00
3.000000000000000000e+01,2.399999999999999911e-01,1.000000000000000000e+00
3.000000000000000000e+01,2.800000000000000266e-01,1.000000000000000000e+00
3.000000000000000000e+01,3.200000000000000067e-01,1.000000000000000000e+00
3.000000000000000000e+01,3.599999999999999867e-01,1.000000000000000000e+00
3.000000000000000000e+01,4.000000000000000222e-01,1.000000000000000000e+00
3.000000000000000000e+01,4.400000000000000022e-01,1.000000000000000000e+00
3.000000000000000000e+01,4.799999999999999822e-01,1.000000000000000000e+00
3.000000000000000000e+01,5.200000000000000178e-01,1.000000000000000000e+00
3.000000000000000000e+01,5.600000000000000533e-01,9.999970000000000248e-01
3.000000000000000000e+01,5.999999999999999778e-01,9.999360000000000470e-01
3.000000000000000000e+01,6.400000000000000133e-01,9.998930000000000318e-01
3.000000000000000000e+01,6.800000000000000488e-01,3.578159999999999934e-03
3.000000000000000000e+01,7.199999999999999734e-01,4.116439999999999856e-03
3.000000000000000000e+01,7.600000000000000089e-01,2.394009999999999801e-03
3.000000000000000000e+01,8.000000000000000444e-01,3.166340000000000127e-03
3.000000000000000000e+01,8.399999999999999689e-01,2.681880000000000201e-03
3.000000000000000000e+01,8.800000000000000044e-01,6.083429999999999914e-03
