T,k,N,epsilon,z,conversion,conversion_sd,m_psi,m_psi_sd,rho_paper
6.500000000000000222e-01,6.000000000000000000e+00,8.000000000000000000e+02,2.999999999999999889e-01,5.000000000000000278e-02,2.486505362499999983e-01,4.200673144976723172e-01,9.085870000000000335e-01,3.346797810220990266e-02,6.992639750000000376e-01
6.500000000000000222e-01,6.000000000000000000e+00,8.000000000000000000e+02,2.999999999999999889e-01,7.500000000000001110e-02,9.345702500000000607e-03,1.141731631916515421e-03,8.490084999999999438e-01,2.863135082387837163e-03,8.980695000000000761e-01
6.500000000000000222e-01,6.000000000000000000e+00,8.000000000000000000e+02,2.999999999999999889e-01,1.000000000000000056e-01,1.174626875000000029e-02,1.532180328187886112e-03,8.120968749999999403e-01,3.390702524459367206e-03,8.720316249999999769e-01
6.500000000000000222e-01,6.000000000000000000e+00,8.000000000000000000e+02,2.999999999999999889e-01,1.250000000000000000e-01,1.637219999999999995e-02,1.534189001557500478e-03,7.738499999999999268e-01,3.113341131324961261e-03,8.442921249999999489e-01
6.500000000000000222e-01,6.000000000000000000e+00,8.000000000000000000e+02,2.999999999999999889e-01,1.500000000000000222e-01,2.255440000000000222e-02,2.667217207596711461e-03,7.346011249999999659e-01,3.911608794265471548e-03,8.149480000000000057e-01
6.500000000000000222e-01,6.000000000000000000e+00,8.000000000000000000e+02,2.999999999999999889e-01,1.750000000000000167e-01,2.924604999999999913e-02,4.498944350344867213e-03,6.974460000000000104e-01,5.898984743157065745e-03,7.859273749999999836e-01
6.500000000000000222e-01,6.000000000000000000e+00,8.000000000000000000e+02,2.999999999999999889e-01,2.000000000000000111e-01,3.985168749999999649e-02,5.383539077000718855e-03,6.585487500000000161e-01,6.003864770920486552e-03,7.539164999999999894e-01
6.500000000000000222e-01,6.000000000000000000e+00,8.000000000000000000e+02,9.000000000000000222e-01,0.000000000000000000e+00,3.333795000000000508e-01,6.839643631067347969e-04,1.215755250000000089e-03,4.089379028944217223e-04,3.333146249999999755e-01
6.500000000000000222e-01,6.000000000000000000e+00,8.000000000000000000e+02,9.000000000000000222e-01,2.500000000000000139e-02,3.202337499999999837e-01,1.384797616079691280e-03,2.224154999999999882e-02,1.038425020162746628e-03,3.436791249999999742e-01
6.500000000000000222e-01,6.000000000000000000e+00,8.000000000000000000e+02,9.000000000000000222e-01,5.000000000000000278e-02,3.070242499999999986e-01,1.844238850447514058e-03,4.492196249999999558e-02,3.542923044936728289e-03,3.539578749999999774e-01
6.500000000000000222e-01,6.000000000000000000e+00,8.000000000000000000e+02,9.000000000000000222e-01,7.500000000000001110e-02,2.922446250000000356e-01,2.999504748183431501e-03,6.872207499999999358e-02,4.194349175602217657e-03,3.654402500000000220e-01
6.500000000000000222e-01,6.000000000000000000e+00,8.000000000000000000e+02,9.000000000000000222e-01,1.000000000000000056e-01,2.755946250000000375e-01,3.764697562138951282e-03,9.239258750000001186e-02,6.069807861546670791e-03,3.775720000000000187e-01
6.500000000000000222e-01,6.000000000000000000e+00,8.000000000000000000e+02,9.000000000000000222e-01,1.250000000000000000e-01,2.586448749999999963e-01,4.609971513943970749e-03,1.175766250000000041e-01,4.771256017483761595e-03,3.901791249999999600e-01
6.500000000000000222e-01,6.000000000000000000e+00,8.000000000000000000e+02,9.000000000000000222e-01,1.500000000000000222e-01,2.408567500000000083e-01,5.812551865359996336e-03,1.435287499999999827e-01,5.771992393229569661e-03,4.031171249999999651e-01
6.500000000000000222e-01,6.000000000000000000e+00,8.000000000000000000e+02,9.000000000000000222e-01,1.750000000000000167e-01,2.205214999999999814e-01,6.602438753975688711e-03,1.720102500000000034e-01,5.930962606314424575e-03,4.184938750000000152e-01
6.500000000000000222e-01,6.000000000000000000e+00,8.000000000000000000e+02,9.000000000000000222e-01,2.000000000000000111e-01,2.004551250000000118e-01,9.784279616270938687e-03,2.004246249999999951e-01,8.072585768164683082e-03,4.327827499999999938e-01
6.500000000000000222e-01,2.000000000000000000e+01,8.000000000000000000e+02,2.999999999999999889e-01,0.000000000000000000e+00,7.499986250000000298e-01,4.330119080501532713e-01,9.999979999999999425e-01,5.291502622134472890e-06,1.339287500000000008e-06
6.500000000000000222e-01,2.000000000000000000e+01,8.000000000000000000e+02,2.999999999999999889e-01,2.500000000000000139e-02,4.999998749999999825e-01,4.999998750000937409e-01,9.813708750000000869e-01,1.862862503271174933e-02,4.874998988099999986e-01
6.500000000000000222e-01,2.000000000000000000e+01,8.000000000000000000e+02,2.999999999999999889e-01,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.260129999999999750e-01,0.000000000000000000e+00,9.499999999999999556e-01
6.500000000000000222e-01,2.000000000000000000e+01,8.000000000000000000e+02,2.999999999999999889e-01,7.500000000000001110e-02,0.000000000000000000e+00,0.000000000000000000e+00,8.898730000000000251e-01,2.645751311067236445e-06,9.249993750000000681e-01
